College ID,State,Name of the College,"Govt./Aided/Private/
Deemed"
AYU0178,Maharashtra,"Dr. Vandanatai Jagannathrao Dhone Gramin Ayurved Mahavidyalaya, Tq. Patur, Distt.
Akola–444501, Maharashtra",Private
AYU0179,Maharashtra,"Lt. Sunil Ramsinh Chunawale Ayurved Mahavidyalaya, Deendayal Nagar, Tq. Chikhli, Distt. Buldana–443201, Maharashtra",Private
AYU0180,Maharashtra,"Mahadeorao Shivankar Ayurvedic Medical College, Hospital & Research Institute, Post- Kudwa,
Distt- Gondia-441614, Maharashtra",Private
AYU0181,Maharashtra,"Shree Saptashrungi Ayurved Mahavidyalaya & Hospital, Kamal Nagar, Hirawadi, Panchavati, Tal. & Distt. Nashik-422003,
Maharashtra",Private
AYU0182,Maharashtra,"Late Kedari Redekar Ayurvedic Mahavidyalaya, P-2, MIDC Area, Shendri Mal, Tal. Gadhinglaj, Distt. Kolhapur –416502, Maharashtra",Private
AYU0183,Maharashtra,"Pravara Medical Trust’s Padmashri Dr. Vitthal Rao Vikhe Patil Foundation Ayurved College Akhegaon Road,
Tal. Shevgaon, Distt. Ahmednagar-414502 Maharashtra",Private
AYU0184,Maharashtra,"Dr. D.Y. Patil College of Ayurved & Research Centre, Pimpri, Pune 411018, Maharashtra",Deemed University (Private)
AYU0185,Maharashtra,"Government Ayurved College, Wazirabad, Tal. & Distt. Nanded-431601, Maharashtra",Government
AYU0186,Maharashtra,"Jupiter Ayurved Medical College & Hospital, Shankarpur, Post- Khapri, Tehsil & District, Nagpur–441108, Maharashtra",Private
AYU0187,Maharashtra,"Hon. Shri Annasaheb Dange Ayurved Medical College & Post Graduate Training Research Centre, Ashta, Tal. Walwa, Distt. Sangli- 416301, Maharashtra",Private
AYU0188,Maharashtra,"Late Shri Babrawan Vithalrao Kale Ayurved Medical College & Hospital, Behind Bus Stand, Ghandhi Maidan,
Tq. Latur-413512, Maharashtra",Private
AYU0189,Maharashtra,"Bal Bhagwan Shikshan Prasarak Mandal’s Dhanwantari Ayurved Medical College & Hospital, Degloor Road,
Udgir-413517, Distt. Latur, Maharashtra",Private
AYU0190,Maharashtra,"Ashvin Rural Ayurved College
Manchi Hill, Ashvi B.K.Ashvi BK, Tal. Sangamner, Distt. Ahmednagar-413714, Maharashtra",Private
AYU0191,Maharashtra,"BSSS’S Ramrao Patil Ayurved Mahavidyalaya & Rugnalaya, Bus Stand Road, Tq. Purna-431511, Distt. Parbhani, Maharashtra",Private
AYU0192,Maharashtra,"Loknete Rajarambapu Patil Ayurvedic Medical College, Hospital, Post Graduate Institute & Research Centre, Urun-Islampur, Sangli Road, Tal. Walwa,
Distt. Sangali-415409, Maharashtra",Private
AYU0193,Maharashtra,"SCSES’S Rural Institute of Ayurved, Research Centre & Hospital, At Vidyagiri, Mayani, Tal.
Khatav,
Distt. Satara-415102, Maharashtra",Private
AYU0194,Maharashtra,"Dr. J.J Magdum Ayurved Medical College, Tal. Shirol-Wadi Road, Jaysingpur-416101, Dist.-Kolhapur, Maharashtra",Private
AYU0195,Maharashtra,"Mahatma Gandhi Ayurved College, Hospital & Research Centre, Salod Hirapur, Distt. Wardha-442001, Maharashtra",Deemed University (Private)
AYU0196,Maharashtra,"Aditya Ayurved College,
At Telgaon Road, Distt. Beed- 431122, Maharashtra",Private
AYU0197,Maharashtra,"Mahesh Ayurved College, Ashti, Teh. Ashti, Distt. Beed 414203
Maharashtra",Private
AYU0198,Maharashtra,"S.M.B.T. Ayurved College & Hospital  At. Nandi Hills, Dhamangaon, Teh. Igatpuri,
Distt. Nashik–422403, Maharashtra",Private
AYU0199,Maharashtra,"Mahila Utkarsha Pratishthan’s Ayurved College Hospital & Research Centre,
Pundlik Nagar, Degaon, Tq. Risod, Distt. Washim-444506, Maharashtra",Private
AYU0201,Maharashtra,"Shri K.R. Pandav Ayurved College & Hospital, Bahadura, Near Dighori Naka, Umred Road, Distt. Nagpur-441204, Maharashtra",Private
AYU0202,Maharashtra,"Dr. D.Y. Patil College of Ayurved & Research Institute, Dr. D.Y. Patil Vidya Nagar, Sector-7, Taluka-Nerul, Navi Mumbai,
Distt.- Thane-400706, Maharashtra",Deemed University (Private)
AYU0203,Maharashtra,"MES Ayurved Mahavidyalaya, Institute of Health Sciences, Ghanekhunt-Lote, Tal. Khed,
Distt Ratnagiri-4157222, Maharashtra",Private
AYU0204,Maharashtra,"Vimla Devi Ayurvedic Medical College & Hospital
At Wandhari, Post-Tadali Tal & Dist-Chandarpur-442406, Maharashtra",Private
AYU0206,Orissa,"Gopabandhu Ayurveda Mahavidyalaya, VIP Road, Puri-752002,
Orissa",Government
AYU0207,Orissa,"Indira Gandhi Memorial Ayurvedic Medical College & Hospital, At-Pokhariput, P.O.-Khandagiri, Distt-Khurda, Bhubaneshwer-751030, Orissa",Private
AYU0209,Orissa,"Kaviraj Ananta Tripathy Sharma Ayurved College & Hospital,  At/P.O Ankushpur, Via Kukudakhandi
Distt. Ganjam-761100, Orissa",Government
AYU0210,Odisha,"Govt. Ayurved College,
AT Tulsi Nagar, Bolangir -767001, Odisha",Government
AYU0211,Odisha,"Sri Sri Nrusinghnath Ayurved College & Research Institute, P.O Paikmal, Distt. Bargarh- 768039,
Odisha",Private
AYU0212,Punjab,"Government Ayurved College,
Near Gurudwara Moti Bagh, Patiala-147001, Punjab",Government
AYU0213,Punjab,"Desh Bhagat Ayurvedic  College & Hospital
Post Box No.5, Amloh Distt. Fatehgarh Sahib-147203, Punjab",Private
AYU0214,Punjab,"Sri Satya Sai Murlidhar Ayurvedic College & Hospital, Vill. Duneke, G.T. Road, Distt. Moga- 142001, Punjab",Private
AYU0215,Punjab,"Mai Bhago Ayurvedic Medical College for Women Ferozpur Road, Distt. Muktsar-152026,
Punjab",Private
AYU0216,Punjab,"Guru Nanak Ayurvedic Medical  College & Hospital Near Ajit Cinema, Barkandi Road,
Taluka: Muktsar-152026, Punjab",Private
AYU0217,Punjab,"Guru Nanak Ayurvedic Medical  College & Research  Institute, Malerkotla Road, Gopalpur, Near Dehlon,
Dist. Ludhiana-141118, Punjab",Private
AYU0218,Punjab,"Shri Lakshmi Narayan Ayurvedic College, Sant Tulsi Dass Marg Amritsar-143001, Punjab",Private
AYU0219,Punjab,"Dayanand Ayurvedic College,
Mahatma Hans Raj Marg, G.T. Road, Opp. Burlton Park, Distt. Jalandhar-144008, Punjab",Private
AYU0220,Punjab,"Shaheed Kartar Singh Sarabha Ayurvedic Medical College & Hospital, VPO Sarabha, Distt. Ludhiana-141105, Punjab",Private
AYU0221,Punjab,"Smt. Urmila Devi Ayurvedic College of Medical Sciences & Hospital UNA Road (10 Km), V &
P.O Kharkan, Distt. Hoshiarpur-146001, Punjab",Private
AYU0222,Punjab,"Babe Ke Ayurvedic Medical College & Hospital Village & P.O Daudhar, Tehsil & Dist. Moga-142053, Punjab",Private
AYU0223,Punjab,"Saint Sahara Ayurvedic Medical College & Hospital, Kot Shamir, Bathinda-151001, Punjab",Private
AYU0224,Puducherry,"Rajiv Gandhi Ayurveda Medical College, Chalakkara,  Mahe. P.B No-.26, Puducherry-673310",Government
AYU0225,Rajasthan,"National Institute of Ayurveda, (Deemed to be University) Madhav Vilas Palace  Amer Road, Jaipur-302002, Rajasthan",National Institute (Government)
AYU0226,Rajasthan,"Madan Mohan Malviya Govt. Ayurveda College, Rada ji circle, Ambamata, Udaipur-313001, Rajasthan",Government
AYU0227,Rajasthan,"Shri Bhanwar Lal Dugar Ayurved Vishwabharti Gandhi Vidya Mandir Dist. Churu, Sardar Shahr- 331403, Rajasthan",Private
AYU0228,Rajasthan,"JR’s Tantia Shri Ganganagar College of Ayurvedic Science & Hospital, Near RIICO, Hanumangarh Road, Sri Ganganagar-335002, Rajasthan",Private
AYU0229,Rajasthan,"Punjab Ayurved Medical College & Hospital, 43 MMK, Hanumangarh Road Morjand Khari, Sri Ganganagar-335037, Rajasthan",Private
AYU0230,Rajasthan,"University College of Ayurved, Rajasthan Ayurved University,
Nagaur Road, Kadwad, Jodhpur-342037, Rajasthan",Government
AYU0231,Rajasthan,"B. M. Education Foundation Trust, Shekhawati Ayurvedic College Behl Road, Harikunj, Ganga Colony, Teh. Chirawa, Distt. Jhunjhunu,
Pilani-333031, Rajasthan",Private
AYU0232,Rajasthan,"Shri Shirdi Sai Baba Ayurvedic College & Hospital Mundiyagarh Kishangarh Renwal, Jaipur- 303603, Rajasthan",Private
AYU0233,Tamil Nadu,"Ayurveda College, RVS Campus,
242-B Trichy Road, Sulur, Coimbatore-641108, Tamil Nadu",Private
AYU0234,Tamil Nadu,"Dharma Ayurved Medical College & Hospital, No. 48, G.W.T. Road, Opp. Rajiv Gandhi Memorial,
Taluk Sriperumbudur-602105 Shri Perumbudur, Distt. Kancheepuram. Tamil Nadu",Private
AYU0235,Tamil Nadu,"Sri Sai Ram Ayurveda Medical College & Research Centre, Sai Leo Nagar, Poonthandalam Sriperumbudur,
Taluk Kanchipuram Chennai–600044, Tamil Nadu",Private
AYU0236,Tamil Nadu,"Sri Jayendra Sarswathi Ayurveda College & Hospital 4/295, Bangalore High Road, Nazarathpet, Chennai, Taluka Poonamallee, Distt. Thiruvallur-600123, Tamil Nadu",Deemed University (Private)
AYU0237,Tamil Nadu,"Government Ayurveda Medical College and Hospital, Kottar, Nagercoil – 629002, Tamil Nadu",Government
AYU0238,Uttarakhand,"Rishikul Govt P.G. Ayurvedic College & Hospital, Haridwar- 249401,
Uttarakhand",Government
AYU0239,Uttarakhand,"Govt. Gurukul Ayurved College, Gurukul Kangari, Haridwar-249404,
Uttarakhand",Government
AYU0241,Uttarakhand,"Uttaranchal Ayurvedic College, Ayurved, Estate 17, Old Mussoorie Road, Rajpur Dehradun–248009,
Uttarakhand",Private
AYU0242,Uttarakhand,"Himalayiya Ayurvedic (PG) Medical College & Hospital, Gram-Fatehpur Tanda, Post-Via Doiwala,
Jeevanwala, Dehradun-248140, Uttarakhand",Private
AYU0243,Uttarakhand,"Patanjali Bhartiya Ayurvigyan Evam Anusandhan Sansthan, Patanjali Yoga Peeth, Haridwar – 249402, Uttarakhand",Private
AYU0244,Uttar Pradesh,"State Ayurvedic College & Hospital, Tulsidas Marg, Lucknow-226001, Uttar Pradesh",Government
AYU0245,Uttar Pradesh,"Lalit Hari State P.G. Ayurvedic College & Hospital, Pilibhit- 262001,
Uttar Pradesh",Government
AYU0246,Uttar Pradesh,"Bundelkhand Govt. Ayurvedic College & Hospital, Gwalior Road, Jhansi-284001,
Uttar Pradesh",Government
AYU0247,Uttar Pradesh,"Government Ayurvedic College & Hospital Atarra- 210201, Dist. Banda
Uttar Pradesh",Government
AYU0248,Uttar Pradesh,"S.R.M. Govt. Ayurvedic College, Bansmandi, Bareilly-243005,
Uttar Pradesh",Government
AYU0249,Uttar Pradesh,"Swami Kalyandev Government Ayurved College ,
Rampur, Muzaffarnagar-251001, Uttar Pradesh",Government
AYU0250,Uttar Pradesh,"Shri Lal  Bahadur Shastri Smarak  Govt. Ayurvedic College & Hospital, Handia,
Allahabad-221503, Uttar Pradesh",Government
AYU0251,Uttar Pradesh,"Sham-E-Ghausia Minority Ayurvedic Medical  College & Hospital, At/P.O-Saheri, Via Nandganj Dist. Ghazipur -233302, Uttar Pradesh",Private
AYU0252,Uttar Pradesh,"Aligarh Unani & Ayurvedic Medical  College & ACN Hospital, Opp. F.M. Tower, Anoopshahr Road,
Aligarh–202002, Uttar Pradesh",Private
AYU0253,Uttar Pradesh,"Vaidya Yagya Dutt Sharma Ayurved Mahavidyalaya, Opposite Dharpa Power House, Distt.
Bulandshahar,
G.T. Road, Khurza- 203131, Uttar Pradesh",Private
AYU0254,Uttar Pradesh,"Sri Sai Ayurvedic Medical College  & Hospital, Opp. Phal Mandi, Sarsol, G.T. Road Aligarh–202001,
Uttar Pradesh",Private
AYU0255,Uttar Pradesh,"JD Ayurvedic Medical College & Hospital, Bhankari, G.T. Road, Aligarh-202001, Uttar Pradesh",Private
AYU0256,Uttar Pradesh,"Major S.D. Singh Ayurvedic Medical College & Hospital, Baikunthpuri (baghar) Bewar Road, Fatehgarh, Distt. Farrukhabad-209625,
Uttar Pradesh",Private
AYU0257,Uttar Pradesh,"Faculty of Ayurveda Institute of Medical Sciences Banaras Hindu University Distt. Varanasi- 221005, Uttar Pradesh",Central University (Government)
AYU0258,Uttar Pradesh,"Govt. Ayurvedic College & Hospital, Sampoornanand Sanskrit University, Varanasi- 221002, Uttar Pradesh",Government
AYU0259,Uttar Pradesh,"Shri Anand Niketan Dharmshala Avom Dharmik Trust, Shri Dhanwantri Ayurvedic Medical College & Research Centre , At NH – 02, Vill. Semari, Tehsil Chhatta , Distt. Mathura-281401, Uttar Pradesh",Private
AYU0260,Uttar Pradesh,"Bharat Ayurved Medical College, Hospital & Research Centre, 10 K.M., Roorkee Road, NH-58,
P.O. Barla, Muzaffarnagar-251001, Uttar Pradesh",Private
AYU0261,West Bengal,"JB Roy State Ayurvedic Medical College & Hospital 170-172,  Raja Dinendra Street Kolkata-700004 West Bengal",Government
AYU0262,West Bengal,"Institute of Post Graduate Ayurvedic Education & Research Shyamadas Vidya Shastra, Pith.
294/3/1  Asharya Prafulla Chandra Road, Kolkata- 700009, West Bengal",Government
AYU0263,West Bengal,"Belley Sankarpur Rajiv Gandhi Memorial Ayurvedic College & Hospital, P.O. & Village, Fingapara,
Distt. 24, Pargnas (N) 743126, West  Bengal",Private
AYU0264,Karnataka,"Islamia Education Trust’s Zakaria Ayurved College, Payan Darga Road, Roza (B), Gulbarga- 585104, Karnataka",Private
AYU0265,West Bengal,"Raghunath Ayurved Mahavidyalaya & Hospital, P.O.- Contai, Distt-Purba Medinipur-721401, West Bengal",Private
AYU0319,Karnataka,"Hillside Ayurvedic Medical College & Hospital, No.174/2, Saldoddi, Agara Village Bangalore-62, Karnataka",Private
AYU0320,Uttarakhand,"Chaudhary Harchand Singh Atmaram EducationTrust, Quadra Institute of Ayurveda, 64/6 Civil Lines,
Roorkee-247667, Distt. Haridwar, Uttarakhand",Private
AYU0321,Rajasthan,"Mahatma Jyotiba Fule Ayurveda Mahavidyalaya, Sikar Road Harota, Chomu, Jaipur-303702, Rajasthan",Private
AYU0322,Himachal Pradesh,"Abhilashi Ayurvedic College & Research Institute,
Chail Chowk, Teh. Chachiot, Mandi-175008, Himachal Pradesh",Private (constitute college of university)
AYU0323,Haryana,"Lal Bahadur Shastri Mahila Ayurvedic College & Hospital, Sadhaura Road, Bilaspur, Yamunanagar-135001, Haryana",Private
AYU0324,Uttar Pradesh,"Prabudha Ayurvedic Medical College, Hospital & Research Centre, Gram- Bakka khera, Mall Malihabad Road-227115, Lucknow Uttar Pradesh",Private
AYU0325,Uttar Pradesh,"Santushti Ayurvedic Medical College & Hospital, Hinauti, Dagmagpur, Chunar,
Distt. Mirzapur-231305, Uttar Pradesh",Private
AYU0326,Maharashtra,"Anandi Shikshan Prasark Mandal’s, Ayurved College, Hospital & Research Institute, Dhad Naka Area, Ajanta Road, Buldana-443001, Maharashtra",Private
AYU0327,Maharashtra,"Shree Dhaneshwari Manav Vikas Mandal,
Sou Shanta devi Ved prakash Patil Ayurved College & Research Institute Gat No.421, Hatta, Tq. Basmat, Distt. Hingoli-431738,
Maharashtra",Private
AYU0328,Maharashtra,"Jagdamba Education Society, Matoshri Asarabai Darade Ayurved College, Post. Babhulgon, Tal. Yeola, Distt. Nashik-423401, Maharashtra",Private
AYU0329,Uttar Pradesh,"Pacific College of Ayurveda & Research Centre, Lacchipur, industrial Area, Gorakhnath Road, College Campus, Raipur Near Peepiganj, Gorakhpur-273015,Uttar Pradesh",Private
AYU0330,Uttar Pradesh,"Gangasheel Ayurvedic Medical College & Hospital, Manpuria Janki Prasad, Kamua, Bilaspur Road, Bareilly-243123, Uttar Pradesh",Private
AYU0331,Uttar Pradesh,"Shivalik Ayurvedic Medical College & Hospital, Vill.- Bijarwa, post-bankat Azamgarh-276125, Uttar Pradesh",Private
AYU0332,Uttar Pradesh,"Shri Krishna Ayurvedic Medical College & Hospital, Rona Khurd Cholapur, Varanasi-221101, Uttar Pradesh",Private
AYU0333,Punjab,"Shiv Shakti Ayurvedic Medical College, Sunam Road Bikhi, Mansa-151504, Punjab",Private
AYU0334,Gujarat,"Dhanwantri Ayurved College & Hospital,
At & P.O. Koydam, Ta. Virpur, Dist. Mahisagar-388260, Koydam (Kajiya) Gujarat",Private
AYU0335,Rajasthan,"Kala Ashram Ayurved Medical College & Hospital,
NHW-27,Village-Bansada Tehsil-Gogunda, District- Udaipur-313705, Rajasthan",Private
AYU0336,Uttar Pradesh,"Kunwar Shekhar Vijendra Ayurved Medical College & Research Center, Adarsh Istitute Area, Babu Vijendra Marg, Gangoh, Distt.-Saharanpur-247341,
Uttar Pradesh",Private
AYU0337,Chhattisgarh,"Govt. Ayurved College & Hospital, Ashok Nagar, Sarkanda, Sendri, Bilaspur-495001,  Chhattisgarh",Government
AYU0344,Andhra Pradesh,"Sri Adi Shiva Sadguru Alli Saheb Sivaaryula Ayurvedic Medical College and Research Centre, Guntakal-515801, Anantapur,
Andhar Pradesh",Private
AYU0345,Tamil Nadu,"Maria Educational and Charitable Trust, Chevaracode, Veeyanoor Post, Kanyakumari Distt-629177,
Tamil Nadu",Private
AYU0346,Karnataka,"Shri Dharmasthala Manjunatheshwara Institute of Ayurveda & Hospital, Anchepalya, Kumbalagoudu Village, Bengaluru-560074,
Karnataka",Private
AYU0347,Karnataka,"Tapovana Ayurvedic Medical College & Hospital Doddabathi – 577566, Davangere,
Karnataka",Private
AYU0348,Rajasthan,"Faculty of Ayurvedic Science, Jayoti Vidayapeeth Women’s University, Vedant Gyan Valley, Jharna,
Mahala-Jobner Link Road, Jaipur-Ajmer Expressway, Jaipur- 303122, Rajasthan",Private
AYU0349,Madhya Pradesh,"Mansarovar Ayurvedic Medical College, Hospital & Research Center Kolar Road, Bhopal-462024, Madhya Pradesh",Private
AYU0350,Uttar Pradesh,"Shanti Institute of Medical & Higher studies, Shanti Ayurvedic Medical College & Hospital, Majhauli-Ballia-277001,
Uttar Pradesh",Private
AYU0351,Uttar Pradesh,"Shaheed Narender Kumar Ayurveda Medical College & R.K.M.S. Cheritable Hospital, Pisawa Road Chandaus, Aligarh-202132,
Uttar Pradesh",Private
AYU0352,Uttar Pradesh,"Dr. Krishna Gopal Dwivedi Ayurvedic Medical College & Hospital Sarmau, Jhansi-284003 Uttar Pradesh",Private
AYU0353,Uttar Pradesh,"Shri Babu Singh Dadduji Ayurvedic Medical College & Hospital Krishna Nagar (Baghar) Kanpur Road,
Fatehgarh- Farrukhabad- 209601, Uttar Pradesh",Private
AYU0354,Gujarat,"Shri V.M. Mehta Institute of Ayurved,
405, Shilp Tower, Tagore Road, Nr. Bhaktinagar Railway Station, Rajkot, Campus Gardi Vidyapith, Kalavad Road, Village, Anandpur-361162, Rajkot, Gujarat",Private
AYU0355,Haryana,"Faculty of Indian Medical System, SGT University, Chandu-Budhera, Gurgaon-122505, Haryana",Private
AYU0356,Uttar Pradesh,"Sri Babu Singh Jay Singh Ayurvedic Medical College & Hospital Bhaupur, Bewar Road, Fatehgarh, Dist. Farrukhabad -209602, Uttar Pradesh",Private
AYU0359,Haryana,"Gangaputra Ayurvedic College, Kaithal Road Kandela, Distt. Jind -126102,
Haryana",Private
AYU0360,Uttar Pradesh,"Jeevan Jyoti Ayurvedic Medical College & Hospital, 10TH K.M. Mile Stone, Khair Road Lodha,
Aligarh-202140, Uttar Pradesh",Private
AYU0361,Maharashtra,"Yashvantrao Chavan Ayurvedic Medical College & Hospital, Shiva Trust Campus, Nipani Bhalgaon, Near Videocon Communication Ltd., Beed Highway Road, Aurangabad-431005, Maharashtra",Private
AYU0362,Madhya Pradesh,"Parashar Ayurvedic Medical College & Hospital, Zirniya Narsinggard Road, Parvalia, Bhopal-462030, Madhya Pradesh",Private
AYU0363,Maharashtra,"Dr. R.N. Lahoti Ayurvedic College, Hospital & Research Institute at Sultanpur, Tal-Lonar, Buldhana-443307,
Maharashtra",Private
AYU0365,Karnataka,"S.G.E.S,S  Dr. N.A. Magadum,
Ayurvedic Medical College & Hospital, At. Ankali, Tq- Chikodi, Distt. Belgaum, Karnataka",Private
AYU0367,Uttar Pradesh,"Shri Ramachandra Vaidya Ayurvedic Medical College and Hospital, Yamuna Vihar, Malhaur Road, Near Eldico Tiraha, Chinhat, Lucknow-226028, Uttar Pradesh",Private
AYU0368,Gujarat,"Shree Swaminarayan Ayurvedic College, Opp. Kalol G.I.D.C. National Highway No. 8,
At & Post-Saij, Ta.-Kalol, Distt. Gandhinagar- 382721, Gujarat",Private
AYU0369,Uttarakhand,"Haridwar Ayurved Medical College & Research Centre, Mustafadbad (Padartha), Dhanpura, Haridwar-249405,
Uttarakhand",Private
AYU0370,Uttar Pradesh,"Jeevak Ayurved Medical College & Hospital, Research Centre, at Kamlapur, Akauni Chandauli, Uttar Pradesh",Private
AYU0371,Karnataka,"Prasanna College of Ayurveda and Hospital, at Laila, Belthangady-574214,
Karnataka",Private
AYU0372,Uttar Pradesh,"Sanjeevani Ayurvedic Medical College, Village- Kudana Chak, Near Brijghat, Distt-Amroha-244235, Uttar Pradesh",Private
AYU0373,Gujarat,"State Model Institute of Ayurveda Sciences, Kolavada, Gandhinagar- 382028, Gujarat",Government
AYU0376,Gujarat,"Eva College of Ayurved, Zanzmer Road, At. Supedi, Distt. Rajkot-360440, Gujarat",Private
AYU0377,Uttarakhand,"Om Ayurvedic College and Research Centre, Near Crystal World, Roorkee Haridwar NH-58, Vill.-Punchayanpur, PO-Daulatpur, Roorkee, Haridwar-249402, Uttarakhand",Private
AYU0378,Uttar Pradesh,"Prem Raghu Ayurvedic Medical College and Hospital, Near M.G. Polytechnic College, Agra Road, Distt. Hathras-204101, Uttar Pradesh",Private
AYU0379,Gujarat,"Indian Institute of Ayurved Research & Hospital, Opp. Hill View Club, Kalawad Road, 50 ft Ishawariya Ring Road,
Rajkot-360110, Gujarat",Private
AYU0380,Himachal Pradesh,"Shiva Ayurvedic Medical College and Hospital,
Village Luhanu Kanetain, P.O. Chandpur Tehsil Sadar, Distt. Bilaspur, Himachal Pradesh- 174004",Private
AYU0381,Uttar Pradesh,"Glocal College of Ayurvedic Medical Science & Research Centre, Delhi-Yamunotri Marg (State Highway No.-57), Mirzapur, Pole,
Distt. Saharanpur-247122, Uttar Pradesh",Private
AYU0383,Punjab,"Baba Hira Das Ji Ayurvedic Medical College & Hospital, V.P.O Badal, Distt. Muktsar-152113, Punjab",Private
AYU0385,Uttarakhand,"Faculty of  Ayurveda, Uttarakhand Ayurved University , Harrawala, Dehradun-248001, Uttarakhand",Government
AYU0386,Gujarat,"Manjushree Research Institute of Ayurvedic Science, Pethapur- Mahudi Road, Near G.G.S., Piplaj-382610, Gandhinagar, Gujarat",Private
AYU0388,Uttar Pradesh,"Vivek College of Ayurvedic Sciences & Hospital, Moradabad Road, Post-Agri,
Distt. Bijnor-246701, Uttar Pradesh",Private
AYU0389,Haryana,"National College of Ayurved, Dhani Garan Road, Barwala, Hisar-125121, Haryana",Private
AYU0390,Uttar Pradesh,"R.B. Ayurvedic Medical College & Hospital, at Jalesar Road, Agra- 207302,
Uttar Pradesh",Private
AYU0391,Karnataka,"Sharada Ayurvedic Medical College & Hospital, at Mundarga, Distt. Yadgir-585202,
Karnataka",Private
AYU0392,Maharashtra,"Sai Ayurved College, Hospital and Research Centre, at Gat No. 67, Dhengale- Patil nagar, Solapur- Barshi Highway, Tal- Barshi,
Solapur-413402, Maharashtra",Private
AYU0393,Uttarakhand,"Motherhood Ayurveda Medical College, Village Karoundi, Post Bhagwanpur, Tehsil-Roorkee, Distt. Haridwar-247661, Uttarakhand",Private
AYU0395,Kerala,"Ashtamgam Ayurveda Chikisalyam & Vidyapeedham at Vavanoor, Koottanad, Distt. Palakkad,
Kerala-679533",Private
AYU0396,Uttar Pradesh,"Dhanvantari Ayurvedic Medical College & Hospital, Vill. Chitauli, P.O. Fatehganj (W), Distt. Bareilly-243501, Uttar Pradesh",Private
AYU0397,Gujarat,"Shree Rasiklal Manikchand Dhariwal Ayurved College & Hospital, At Village Wagaldhara, NH-8, Distt. Valsad-396375, Gujarat",Private
AYU0399,Punjab,"Harmony Ayurvedic Medical College & Hospital, at Near  FCI Godowns, Kachha Zira Road, Ferozepur City, Distt. Ferozepur, Punjab-152002",Private
AYU0400,Uttar Pradesh,"Bapu Ayurvedic Medical College Evam Hospital, Ladanpur, Kopaganj, Distt. Mau,
Uttar Pradesh-275101",Private
AYU0401,Chhattisgarh,"Bharti Ayurved Medical College & Hospital, Pulgaon Chowk, Durg, Chhatisgarh-491001",Private
AYU0403,Uttar Pradesh,"Shree Ram Ayurvedic Medical College and Hospital, Vill. Dungrawali, Partapur Bye Pass Road (Delhi- Haridwar Highway),
Distt. Meerut-250103, Uttar Pradesh",Private
AYU0406,Uttar Pradesh,"K.V. Ayurvedic Medical College & Dev Hospital, Kuberpur, NH-2, Agra-283202, Uttar Pradesh",Private
AYU0407,Punjab,"Saraswati Ayurved Hospital and Medical College, VPO Gharuan-140413, Tehsil Kharar, Distt.
S.A.S. Nagar Mohali, Punjab",Private
AYU0408,Uttar Pradesh,"Institute of AYUSH Medical Sciences, Vimalarjun Nagar, Bhagoo Kheda, Mohanlal Ganj, Lucknow-261005, Uttar Pradesh",Private
AYU0409,Punjab,"Khalsa Ayurvedic Medical College & Hospital, At Village Nangal Kalan,
Distt. Mansa-151505, Punjab",Private
AYU0410,Uttar Pradesh,"Mahaveer Ayurvedic Medical College & Hospital, Pohalli Saradhana Road, Meerut-250341, Uttar Pradesh",Private
AYU0414,Uttar Pradesh,"WTM Ayurvedic Medical College & Hospital, Village-Fatehpur Mafi, Post-Palaula Joya- Sambhal Road, Distt. Amroha-244222, Uttar Pradesh",Private
AYU0416,Uttar Pradesh,"Prakash Institute of Ayurvedic Medical Sciences and Research, at Jhhajar, Bulandshehar, Uttar Pradesh",Private
AYU0417,Uttar Pradesh,"S.R.S. Ayurvedic Medical College and Hospital, Village-Sikandarpur, P.O. Tehra, Gwailor Road,
Distt. Agra-282001, Uttar Pradesh",Private
AYU0418,Uttar Pradesh,"G.S. Ayurveda Medical College & Hospital, Village-Peeplabandpur, Near Railway Station,
Pilkhuwa, Distt. Hapur-245304, Uttar Pradesh",Private
AYU0420,Karnataka,"Bidar Vidya Kendra (R) Akkamahadevi Ayurvedic Medical College & Research Centre, Chidri, Bidar-585403,
Karnataka",Private
AYU0421,Karnataka,"K.T.G. Ayurvedic Medical College & Hospital, Sy.No.93 & Sy.No 78/5,  Sreegandhadakavalu, Via: Magadi Main Road,  Hegganhalli Cross,
Sunkadakatte-Peenya Road, Vishwaneedma Post, Bangalore-560091, Karnataka",Private
AYU0422,Uttar Pradesh,"R.K. Ayurvedic Medical College & Hospital, Kashipur, Surai, Sathiaon, Azamgarh,
Uttar Pradesh–243501",Private
AYU0436,Uttar Pradesh,"Dr. Vijay Ayurvedic Medical College, Hospital & Research Centre, Village-Bhandaha Kala, Post- Kaithi, Varanasi-221116, Uttar Pradesh",Private
AYU0440,Uttar Pradesh,"Divya Jyoti Ayurvedic Medical College & Hospital, Niwari Road, Modinagar, Distt. Ghaziabad-201204, Uttar Pradesh",Private
AYU0441,Gujarat,"Bhargava Ayurveda College, Vidyagram, Post-Dahemi,
Ta. Borsad, Distt. Anand-388560, Gujarat",Private
AYU0442,Gujarat,"Murlidhar Ayurved College, Bhavnagar Road, Kalipat, Distt. Rajkot-360020, Gujarat",Private
AYU0443,Gujarat,"RK University Ayurvedic College & Hospital,
RK University Campus, Rajkot-Bhavnagar Highway, Kasturbadham, Rajkot-360020, Gujarat",Private
